"name" "chrom" "strand" "txStart" "txEnd" "cdsStart" "cdsEnd" "name2" "width"
"NM_130786" "chr19" "-" 58858171 58864865 58858387 58864803 "A1BG" 6694
"NR_015380" "chr19" "+" 58863335 58866549 58866549 58866549 "A1BG-AS1" 3214
"NM_138933" "chr10" "-" 52559168 52645435 52566488 52610547 "A1CF" 86267
"NM_000014" "chr12" "-" 9220303 9268558 9220418 9268445 "A2M" 48255
"NR_026971" "chr12" "+" 9217772 9220651 9220651 9220651 "A2M-AS1" 2879
"NM_144670" "chr12" "+" 8975067 9029377 8975247 9027607 "A2ML1" 54310
"NR_040112" "chr12" "-" 9381128 9386803 9386803 9386803 "A2MP1" 5675
"NM_001080438" "chr1" "-" 33772366 33786699 33772366 33786699 "A3GALT2" 14333
"NM_001318038" "chr22" "-" 43088120 43117307 43088895 43089957 "A4GALT" 29187
"NM_016161" "chr3" "-" 137842559 137851229 137843105 137850098 "A4GNT" 8670
"NR_037584" "chr17" "-" 31856805 31860779 31860779 31860779 "AA06" 3974
"NM_001173466" "chr12" "-" 53701239 53715412 53701272 53715249 "AAAS" 14173
"NM_001319839" "chr12" "+" 125549912 125627879 125550130 125626759 "AACS" 77967
"NR_024035" "chr5" "-" 178191861 178245436 178245436 178245436 "AACSP1" 53575
"NM_001086" "chr3" "+" 151531860 151546276 151531950 151545960 "AADAC" 14416
"NM_207365" "chr3" "+" 151451703 151475556 151451823 151475382 "AADACL2" 23853
"NR_110202" "chr3" "-" 151468966 151645963 151645963 151645963 "AADACL2-AS1" 176997
"NM_001103170" "chr1" "+" 12776117 12788726 12776179 12785963 "AADACL3" 12609
"NM_001013630" "chr1" "+" 12704565 12727097 12704565 12726746 "AADACL4" 22532
"NR_026915" "chr3" "+" 151488243 151502682 151502682 151502682 "AADACP1" 14439
"NM_001286683" "chr4" "-" 170981372 171011538 170982078 171010841 "AADAT" 30166
"NM_153698" "chr9" "-" 99403532 99417599 99404040 99417563 "AAED1" 14067
"NM_001271885" "chr15" "-" 67493012 67547536 67495158 67528779 "AAGAB" 54524
"NM_014911" "chr2" "-" 69685126 69870977 69703000 69870172 "AAK1" 185851
"NM_001316957" "chr11" "+" 77532159 77611831 77553542 77611732 "AAMDC" 79672
"NM_001087" "chr2" "-" 219128851 219134932 219129255 219134809 "AAMP" 6081
"NM_001166579" "chr17" "+" 74449432 74466199 74462254 74466052 "AANAT" 16767
"NM_015511" "chr20" "+" 34824338 34844863 34827790 34843667 "AAR2" 20525
"NM_001025357" "chr8" "+" 117950463 117956239 117950482 117954940 "AARD" 5776
"NM_001605" "chr16" "-" 70286296 70323412 70286623 70316666 "AARS" 37116
